ID,T_eff (K),T_eff error,log g,log g error,Gaia Source ID,Parallax (mas),Parallax Error (mas),Phot_g_mean_mag value,bp_rp value,RA (HMS),Dec (Degrees),Distance (pc),Lower Bound (pc),Upper Bound (pc),V-Band Apparent Magnitude,B-Band Apparent Magnitude
HD 4841,14750,1000,1.95,0.2,523812051065920768,0.22630717,0.02530979746,6.669248,0.8728528,00 51 25.9267706955,63 46 52.208780565,3873.930491,3520.67052,4302.186713,6.86,7.43
HD 7902,15500,1000,2.02,0.2,413827353180436736,0.2432195568,0.03085556113,6.8196216,0.65341663,01 19 51.7354450531,58 12 29.321754740,3588.647427,3227.470289,4034.815201,6.96,7.37
HD 164353,16500,1000,2.46,0.2,4469314179059129472,1.767200453,0.4963391002,3.8600357,0.104850054,18 00 38.713466881,02 55 53.595379606,648.3052362,405.8741596,1634.238557,3.93,3.96
HD 191243,15500,1000,2.43,0.2,2058352669922023424,0.7763475727,0.04473348488,6.071581,0.26708174,20 07 41.441034532,34 25 22.461352307,1246.335523,1178.924341,1321.760361,6.141,6.248
HD 15497,15000,1000,2,0.2,458075652452721664,0.3034495698,0.0321127872,6.759004,1.1293731,02 31 53.375660421,57 41 51.509402701,2980.360171,2714.030275,3302.014593,7.02,7.8
HD 13267,15000,1000,2,0.2,506664136434780288,0.417365609,0.03970315886,6.263778,0.5262871,02 11 29.1932220785,57 38 43.963436391,2234.825877,2049.993585,2454.980674,6.35,6.68
HD 12301,14000,1000,2.15,0.2,518061296009524480,0.956238683,0.06867937994,5.459964,0.598022,02 03 00.1867607539,64 23 24.064160879,1021.300878,952.704365,1100.324333,5.614,5.93
HD 199478,12500,1000,1.56,0.2,2166846047768767488,0.3193436118,0.06808840234,5.5071726,0.7258935,20 55 49.8044819063,47 25 03.561837777,2820.308663,2341.563837,3517.317655,5.64,6.12
HD 14542,12500,1000,1.75,0.2,458463951857361024,0.3444299465,0.04279793362,6.7866845,0.9538555,02 23 00.4260438811 ,57 23 13.219092018,2652.646813,2376.742079,2997.172061,6.977,7.6
HD 208501,13000,1000,1.8,0.2,2198963817515042560,0.976745659,0.07058395131,5.4665003,1.0701957,21 54 53.1538674561 ,56 36 40.407476918,1000.755362,933.0838927,1078.795724,5.8,6.52
HD 14322,13000,1000,1.85,0.2,458241541269642880,0.1885999836,0.04131564773,6.6716866,0.51886606,02 20 42.9185937141 ,55 54 32.681443043,4231.341891,3608.484166,5073.710335,6.85,7.16
HD 21291,11500,1000,1.6,0.2,462250738616785152,1.335997416,0.2427371574,3.9976237,0.6937938,03 29 04.1289203454 ,59 56 25.213264523,768.3406966,631.8197565,978.536426,4.22,4.63
HD 35600,11000,1000,2,0.2,3446200914143500160,1.009800073,0.08138361909,5.614982,0.36882687,05 27 08.2722699487,30 12 30.969383248,969.6448244,896.9892686,1054.830804,5.72,5.861
HD 14899,11000,1000,1.75,0.2,458420177549867392,0.5050927308,0.05136260965,7.2444205,,02 26 18.4720278204 ,57 13 41.991937943,1873.460638,1703.874476,2079.232326,7.39,7.83
